kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err2,koi_time0bk,koi_time0bk_err2,koi_impact,koi_impact_err2,koi_duration,koi_duration_err2,koi_depth,koi_prad_err1,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,koi_srad_err2,ra,dec,koi_kepmag,koi_prad
K00752.01,CONFIRMED,CANDIDATE,1.0,9.48803557,-2.775e-05,170.53875,-0.00216,0.146,-0.146,2.9575,-0.0819,615.8,0.26,793.0,93.59,35.8,1.0,5455.0,4.467,0.927,-0.061,291.93423,48.141651,15.347,2.26
K00752.02,CONFIRMED,CANDIDATE,0.969,54.4183827,-0.0002479,162.51384,-0.00352,0.586,-0.443,4.507,-0.116,874.8,0.32,443.0,9.11,25.8,2.0,5455.0,4.467,0.927,-0.061,291.93423,48.141651,15.347,2.83
K00755.01,CONFIRMED,CANDIDATE,1.0,2.525591777,-3.761e-06,171.59555,-0.00113,0.701,-0.478,1.6545,-0.042,603.3,0.88,1406.0,926.16,40.9,1.0,6031.0,4.438,1.046,-0.133,288.75488,48.2262,15.509,2.75
K00756.01,CONFIRMED,CANDIDATE,1.0,11.09432054,-2.036e-05,171.20116,-0.00141,0.538,-0.428,4.5945,-0.061,1517.5,1.27,835.0,114.81,66.5,1.0,6046.0,4.486,0.972,-0.105,296.28613,48.22467,15.714,3.9
K00756.02,CONFIRMED,CANDIDATE,1.0,4.13443512,-1.046e-05,172.97937,-0.0019,0.762,-0.532,3.1402,-0.0673,686.0,0.9,1160.0,427.65,40.2,2.0,6046.0,4.486,0.972,-0.105,296.28613,48.22467,15.714,2.77
K00756.03,CONFIRMED,CANDIDATE,0.992,2.56658897,-1.781e-05,179.55437,-0.00461,0.755,-0.523,2.429,-0.165,226.5,0.52,1360.0,807.74,15.0,3.0,6046.0,4.486,0.972,-0.105,296.28613,48.22467,15.714,1.59
K00112.02,CONFIRMED,CANDIDATE,1.0,3.709214104,-6.536e-06,133.98318,-0.00143,0.051,-0.051,2.6302,-0.0427,131.1,0.17,1206.0,500.46,50.6,2.0,5833.0,4.407,1.022,-0.107,295.64871,48.49556,12.772,1.16
K00746.01,CONFIRMED,CANDIDATE,1.0,9.27358173,-1.037e-05,173.258155,-0.000877,0.387,-0.386,3.2875,-0.0309,1288.3,0.2,649.0,41.85,87.2,1.0,4856.0,4.583,0.696,-0.068,288.13824,47.724449,15.302,2.47
K00747.01,CONFIRMED,CANDIDATE,1.0,6.02930329,-5.509e-06,171.602959,-0.000713,0.258,-0.258,1.5821,-0.0311,1912.7,0.26,678.0,50.04,65.4,1.0,4537.0,4.648,0.672,-0.036,283.71088,47.86327,15.784,2.85
K00748.01,FALSE POSITIVE,FALSE POSITIVE,0.0,2.696370652,-7.534e-06,170.73769,-0.00234,0.044,-0.044,3.6129,-0.0686,397.9,0.13,1066.0,305.34,48.2,1.0,4989.0,4.504,0.819,-0.082,283.76547,47.804298,15.269,1.58
K00749.01,CONFIRMED,CANDIDATE,1.0,5.349553819,-8.834e-06,171.80694,-0.00127,0.092,-0.092,3.0278,-0.0471,831.0,0.16,919.0,168.99,60.6,1.0,5185.0,4.44,0.91,-0.086,292.37613,47.880989,15.416,2.55
K00749.02,CONFIRMED,CANDIDATE,0.98,3.94105221,-1.094e-05,136.08662,-0.00233,0.226,-0.226,2.5984,-0.0737,363.3,0.11,1018.0,253.15,28.9,2.0,5185.0,4.44,0.91,-0.086,292.37613,47.880989,15.416,1.7
K00749.03,CONFIRMED,CANDIDATE,0.971,8.10904807,-6.787e-05,132.8031,-0.00716,0.025,-0.025,3.596,-0.198,217.4,0.09,800.0,97.03,14.1,3.0,5185.0,4.44,0.91,-0.086,292.37613,47.880989,15.416,1.3
K00750.01,CONFIRMED,CANDIDATE,1.0,21.67699193,-7.01e-05,171.53594,-0.00258,0.896,-0.663,3.4555,-0.0656,857.2,0.12,530.0,18.64,34.3,1.0,4954.0,4.5,0.828,-0.065,290.46512,47.92918,15.377,2.95
K00751.01,CONFIRMED,CANDIDATE,1.0,4.99677968,-1.389e-05,171.74208,-0.00219,0.71,-0.533,2.1717,-0.0762,934.7,0.52,917.0,166.95,28.2,1.0,5339.0,4.552,0.847,-0.069,297.80826,47.946671,15.861,2.78
K00769.01,CONFIRMED,CANDIDATE,1.0,4.280963604,-6.141e-06,171.89659,-0.00115,0.424,-0.356,2.875,-0.042,750.8,0.58,1012.0,247.87,61.8,1.0,5644.0,4.564,0.831,-0.069,294.26581,49.314091,15.356,2.3
K00770.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1.50635409,-4.7e-07,170.998064,-0.000246,0.86,-0.125,1.5155,-0.0483,2211.7,1.01,1452.0,1054.12,181.1,1.0,5714.0,4.563,0.831,-0.08,295.66522,49.351009,15.525,4.53
K00773.01,CONFIRMED,CANDIDATE,1.0,38.3775486,-0.0001602,172.82048,-0.00338,0.468,-0.267,5.588,-0.113,724.2,0.37,529.0,18.53,34.7,1.0,5481.0,4.369,1.036,-0.124,291.72202,49.480869,15.172,2.82
